0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ASW|ASW|Àñóàí|Àñóàí|Aswan|Aswan|Àñóàí|Àñóàí|Aswan|Aswan|Åãèïåò|Åãèïåò|23.964356|23.964356|32.819975|32.819975
ASX|ASX|Ýøëåíä|Ýøëåíä|Ashland|Ashland|Ýøëåíä|Ýøëåíä|Ashland|Ashland|ÑØÀ|ÑØÀ|46.548528|46.548528|-90.918972|-90.918972
ASY|ASY|||Ashley|Ashley|||Ashley|Ashley|ÑØÀ|ÑØÀ|46.023863|46.023863|-99.352614|-99.352614
ASZ|ASZ|Àñèðèì|Àñèðèì|Asirim|Asirim|Àñèðèì|Àñèðèì|Asirim|Asirim|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-5.867|-5.867|150.367|150.367
ATA|ATA|Àíòà|Àíòà|Anta|Anta|Àíòà|Àíòà|Anta|Anta|Ïåðó|Ïåðó|-9.347444|-9.347444|-77.598392|-77.598392
ATB|ATB|Àòáàðà|Àòáàðà|Atbara|Atbara|Àòáàðà|Àòáàðà|Atbara|Atbara|Ñóäàí|Ñóäàí|17.709722|17.709722|34.056944|34.056944
ATD|ATD|Àòîèôè|Àòîèôè|Atoifi|Atoifi|Àòîèôè|Àòîèôè|Atoifi|Atoifi|Ñîëîìîíîâû îñòðîâà|Ñîëîìîíîâû îñòðîâà|-8.873333|-8.873333|161.011389|161.011389
ATE|ATE|||Antlers|Antlers|||Antlers|Antlers|ÑØÀ|ÑØÀ|34.192601|34.192601|-95.649859|-95.649859
ATF|ATF|||Chachoan|Chachoan|Àìáàòî|Àìáàòî|Ambato|Ambato|Ýêâàäîð|Ýêâàäîð|-1.212067|-1.212067|-78.574636|-78.574636
ATG|ATG|||Attock|Attock|||Attock|Attock|Ïàêèñòàí|Ïàêèñòàí|33.900|33.900|72.250|72.250
ATH|ATH|||Eleftherios Venizelos|Eleftherios Venizelos|Àôèíû|Àôèíû|Athens|Athens|Ãðåöèÿ|Ãðåöèÿ|37.936358|37.936358|23.944467|23.944467
ATI|ATI|Àðòèãàñ|Àðòèãàñ|Artigas|Artigas|Àðòèãàñ|Àðòèãàñ|Artigas|Artigas|Óðóãâàé|Óðóãâàé|-30.400706|-30.400706|-56.507869|-56.507869
ATJ|ATJ|Àíöèðàáå|Àíöèðàáå|Antsirabe|Antsirabe|Àíöèðàáå|Àíöèðàáå|Antsirabe|Antsirabe|Ìàäàãàñêàð|Ìàäàãàñêàð|-19.836944|-19.836944|47.065278|47.065278
ATK|ATK|||Atqasuk|Atqasuk|||Atqasuk|Atqasuk|ÑØÀ|ÑØÀ|70.467276|70.467276|-157.435736|-157.435736
ATL|ATL|||Hartsfield-jackson Atlanta International|Hartsfield-jackson Atlanta International|||Atlanta, GA|Atlanta, GA|ÑØÀ|ÑØÀ|33.636720|33.636720|-84.428066|-84.428066
ATM|ATM|Àëüòàìèðà|Àëüòàìèðà|Altamira|Altamira|||Altamira|Altamira|Áðàçèëèÿ|Áðàçèëèÿ|-3.253906|-3.253906|-52.253978|-52.253978
ATN|ATN|Íàìàòàíàé|Íàìàòàíàé|Namatanai|Namatanai|Íàìàòàíàé|Íàìàòàíàé|Namatanai|Namatanai|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-3.667|-3.667|152.433|152.433
ATO|ATO|||Ohio University|Ohio University|Àôèíû|Àôèíû|Athens|Athens|Ãðåöèÿ|Ãðåöèÿ|39.211893|39.211893|-82.229255|-82.229255
ATP|ATP|||Airstrip|Airstrip|Àéòåéï|Àéòåéï|Aitape|Aitape|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-3.133|-3.133|142.333|142.333
ATQ|ATQ|||Raja Sansi|Raja Sansi|Àìðèòñàð|Àìðèòñàð|Amritsar|Amritsar|Èíäèÿ|Èíäèÿ|31.709594|31.709594|74.797264|74.797264
ATR|ATR|||Mouakchott|Mouakchott|Àòàð|Àòàð|Atar|Atar|Ìàâðèòàíèÿ|Ìàâðèòàíèÿ|20.506828|20.506828|-13.043194|-13.043194
ATS|ATS|||Artesia|Artesia|||Artesia|Artesia|ÑØÀ|ÑØÀ|32.852528|32.852528|-104.467686|-104.467686
ATT|ATT|||Atmautluak|Atmautluak|||Atmautluak|Atmautluak|ÑØÀ|ÑØÀ|60.866746|60.866746|-162.273139|-162.273139
ATU|ATU|||Casco Cove|Casco Cove|||Attu Island|Attu Island|ÑØÀ|ÑØÀ|52.832542|52.832542|173.175554|173.175554
ATV|ATV|Àòè|Àòè|Ati|Ati|Àòè|Àòè|Ati|Ati|×àä|×àä|13.238889|13.238889|18.313333|18.313333
ATW|ATW|||Outagamie County|Outagamie County|Ýïïëòîí|Ýïïëòîí|Appleton|Appleton|ÑØÀ|ÑØÀ|44.258083|44.258083|-88.519083|-88.519083
ATX|ATX|Àòáàñàð|Àòáàñàð|Atbasar|Atbasar|Àòáàñàð|Àòáàñàð|Atbasar|Atbasar|Êàçàõñòàí|Êàçàõñòàí|51.851667|51.851667|68.363333|68.363333
ATY|ATY|||Watertown|Watertown|||Watertown|Watertown|ÑØÀ|ÑØÀ|44.913972|44.913972|-97.154722|-97.154722
ATZ|ATZ|Àñüþò|Àñüþò|Assiut|Assiut|Àñüþò|Àñüþò|Assiut|Assiut|Åãèïåò|Åãèïåò|27.046508|27.046508|31.011983|31.011983
AUA|AUA|||Reina Beatrix|Reina Beatrix|||Aruba|Aruba|Àðóáà|Àðóáà|12.501389|12.501389|-70.015221|-70.015221
AUB|AUB|||Itauba|Itauba|||Itauba|Itauba|Áðàçèëèÿ|Áðàçèëèÿ|-7.1|-7.1|-41.983333333333|-41.983333333333
AUC|AUC|Àðàóêà|Àðàóêà|Arauca|Arauca|Àðàóêà|Àðàóêà|Arauca|Arauca|Êîëóìáèÿ|Êîëóìáèÿ|7.068889|7.068889|-70.736944|-70.736944
AUD|AUD|||Augustus Downs|Augustus Downs|||Augustus Downs|Augustus Downs|Àâñòðàëèÿ|Àâñòðàëèÿ|-18.507500|-18.507500|139.883611|139.883611
AUE|AUE|||Abu Rudeis|Abu Rudeis|||Abu Rudeis|Abu Rudeis|Åãèïåò|Åãèïåò|28.899017|28.899017|33.202461|33.202461
AUF|AUF|||Auxerre Branches|Auxerre Branches|||Auxerre|Auxerre|Ôðàíöèÿ|Ôðàíöèÿ|47.846328|47.846328|3.496578|3.496578
AUG|AUG|||Augusta|Augusta|||Augusta|Augusta|ÑØÀ|ÑØÀ|44.320650|44.320650|-69.797318|-69.797318
AUH|AUH|Àáó-Äàáè|Àáó-Äàáè|Abu Dhabi International|Abu Dhabi International|Àáó-Äàáè|Àáó-Äàáè|Abu Dhabi|Abu Dhabi|ÎÀÝ|ÎÀÝ|24.432972|24.432972|54.651138|54.651138
AUI|AUI|||Aua Island|Aua Island|||Aua Island|Aua Island|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-1.450|-1.450|143.067|143.067
AUJ|AUJ|Àìáóíòè|Àìáóíòè|Ambunti|Ambunti|Àìáóíòè|Àìáóíòè|Ambunti|Ambunti|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-4.217|-4.217|142.817|142.817
AUK|AUK|||Alakanuk|Alakanuk|||Alakanuk|Alakanuk|ÑØÀ|ÑØÀ|62.680044|62.680044|-164.659925|-164.659925
AUL|AUL|||Aur Island|Aur Island|||Aur Island|Aur Island|Ìàðøàëëîâû îñòðîâà|Ìàðøàëëîâû îñòðîâà|8.145277|8.145277|171.173056|171.173056
AUM|AUM|Îñòèí|Îñòèí|Austin|Austin|Îñòèí|Îñòèí|Austin|Austin|ÑØÀ|ÑØÀ|43.662639|43.662639|-92.932917|-92.932917
AUN|AUN|Îáóðí|Îáóðí|Auburn|Auburn|Îáóðí|Îáóðí|Auburn|Auburn|ÑØÀ|ÑØÀ|38.954806|38.954806|-121.081722|-121.081722
AUO|AUO|||Auburn-Opelika|Auburn-Opelika|Îáóðí|Îáóðí|Auburn|Auburn|ÑØÀ|ÑØÀ|32.615111|32.615111|-85.434000|-85.434000
AUP|AUP|Àãàóí|Àãàóí|Agaun|Agaun|Àãàóí|Àãàóí|Agaun|Agaun|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-9.917|-9.917|149.383|149.383
AUQ|AUQ|||Atuona|Atuona|||Atuona|Atuona|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|-9.768794|-9.768794|-139.011256|-139.011256
AUR|AUR|Îðèéàê|Îðèéàê|Aurillac|Aurillac|Îðèéàê|Îðèéàê|Aurillac|Aurillac|Ôðàíöèÿ|Ôðàíöèÿ|44.897583|44.897583|2.416719|2.416719
AUT|AUT|Àòàóðî|Àòàóðî|Atauro|Atauro|Àòàóðî|Àòàóðî|Atauro|Atauro|Èíäîíåçèÿ|Èíäîíåçèÿ|-8.267|-8.267|125.602|125.602
AUU|AUU|||Aurukun Mission|Aurukun Mission|||Aurukun Mission|Aurukun Mission|Àâñòðàëèÿ|Àâñòðàëèÿ|-13.353889|-13.353889|141.720833|141.720833
AUV|AUV|||Aumo|Aumo|||Aumo|Aumo|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-5.7333333333333|-5.7333333333333|148.5|148.5
AUW|AUW|||Municipal|Municipal|||Wausau|Wausau|ÑØÀ|ÑØÀ|44.926285|44.926285|-89.627002|-89.627002
AUX|AUX|||Araguaina|Araguaina|||Araguaina|Araguaina|Áðàçèëèÿ|Áðàçèëèÿ|-7.227867|-7.227867|-48.240467|-48.240467
AUY|AUY|Àíåéòüþì|Àíåéòüþì|Aneityum|Aneityum|Àíåéòüþì|Àíåéòüþì|Aneityum|Aneityum|Âàíóàòó|Âàíóàòó|-20.249167|-20.249167|169.771389|169.771389
AUZ|AUZ|||Municipal Airport|Municipal Airport|||Aurora|Aurora|ÑØÀ|ÑØÀ|41.771917|41.771917|-88.475667|-88.475667
AVA|AVA|||An Shun/Huang Guo Shu|An Shun/Huang Guo Shu|||An Shun|An Shun|Êèòàé|Êèòàé|26.260556|26.260556|105.873056|105.873056
AVB|AVB|Àâèàíî|Àâèàíî|Aviano|Aviano|||Aviano|Aviano|Èòàëèÿ|Èòàëèÿ|46.031889|46.031889|12.596472|12.596472
AVF|AVF|Àâîðèàç|Àâîðèàç|Avoriaz|Avoriaz|Àâîðüÿç|Àâîðüÿç|Avoriaz|Avoriaz|Ôðàíöèÿ|Ôðàíöèÿ|46.2|46.2|6.7666666666667|6.7666666666667
AVG|AVG|Îâåðíü|Îâåðíü|Auvergne|Auvergne|Îâåðíü|Îâåðíü|Auvergne|Auvergne|Àâñòðàëèÿ|Àâñòðàëèÿ|-15.690278|-15.690278|130.008611|130.008611
AVI|AVI|||Maximo Gomez|Maximo Gomez|||Ciego De Avila|Ciego De Avila|Êóáà|Êóáà|22.027053|22.027053|-78.789617|-78.789617
AVK|AVK|||Arvaikheer|Arvaikheer|||Arvaikheer|Arvaikheer|Ìîíãîëèÿ|Ìîíãîëèÿ|46.250397|46.250397|102.802078|102.802078
AVL|AVL|||Asheville Regional Airport|Asheville Regional Airport|||Fletcher|Fletcher|ÑØÀ|ÑØÀ|35.436194|35.436194|-82.541806|-82.541806
AVN|AVN|||Avignon-Caum|Avignon-Caum|Àâèíüîí|Àâèíüîí|Avignon|Avignon|Ôðàíöèÿ|Ôðàíöèÿ|43.906581|43.906581|4.902028|4.902028
AVO|AVO|||Municipal|Municipal|||Avon Park|Avon Park|ÑØÀ|ÑØÀ|27.591300|27.591300|-81.528967|-81.528967
AVP|AVP|||Wilkes-Barre/Scranton International Airport|Wilkes-Barre/Scranton International Airport|||Wilkes-Barre/Scranton, PA|Wilkes-Barre/Scranton, PA|ÑØÀ|ÑØÀ|41.338472|41.338472|-75.723389|-75.723389
AVU|AVU|Àâó-Àâó|Àâó-Àâó|Avu Avu|Avu Avu|Àâó-Àâó|Àâó-Àâó|Avu Avu|Avu Avu|Ñîëîìîíîâû îñòðîâà|Ñîëîìîíîâû îñòðîâà|-9.867|-9.867|160.400|160.400
AVV|AVV|Ìåëüáóðí-àýðîïîðò Àâàëîí|Ìåëüáóðí-àýðîïîðò Àâàëîí|Avalon|Avalon|Ãåëîíã|Ãåëîíã|Geelong|Geelong|Àâñòðàëèÿ|Àâñòðàëèÿ|-38.039444|-38.039444|144.469444|144.469444
AVW|AVW|||Avra Valley|Avra Valley|Òóêñîí|Òóêñîí|Tucson|Tucson|ÑØÀ|ÑØÀ|32.409556|32.409556|-111.218389|-111.218389
AVX|AVX|||Avalon Bay|Avalon Bay|||Catalina Island|Catalina Island|ÑØÀ|ÑØÀ|33.404997|33.404997|-118.415769|-118.415769
AWA|AWA|Àâàññà|Àâàññà|Awassa|Awassa|Àâàññà|Àâàññà|Awassa|Awassa|Ýôèîïèÿ|Ýôèîïèÿ|7.067222|7.067222|38.490278|38.490278
AWB|AWB|Àâàáà|Àâàáà|Awaba|Awaba|Àâàáà|Àâàáà|Awaba|Awaba|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-8.000|-8.000|142.750|142.750
AWD|AWD|Àíèâà|Àíèâà|Aniwa|Aniwa|Àíèâà|Àíèâà|Aniwa|Aniwa|Âàíóàòó|Âàíóàòó|-19.240000|-19.240000|169.605000|169.605000
AWE|AWE|Àëîâå|Àëîâå|Alowe|Alowe|Àëîâå|Àëîâå|Alowe|Alowe|Ãàáîí|Ãàáîí|-0.750|-0.750|9.450|9.450
AWH|AWH|Àâàðåõ|Àâàðåõ|Awareh|Awareh|Àâàðåõ|Àâàðåõ|Awareh|Awareh|Ýôèîïèÿ|Ýôèîïèÿ|8.267|8.267|44.183|44.183
AWK|AWK|||Wake Island|Wake Island|||Wake Island|Wake Island|Âíåøíèå ìàëûå îñòðîâà ÑØÀ|Âíåøíèå ìàëûå îñòðîâà ÑØÀ|19.282490|19.282490|166.636661|166.636661
AWM|AWM|||Municipal|Municipal|||West Memphis|West Memphis|ÑØÀ|ÑØÀ|35.135059|35.135059|-90.234446|-90.234446
AWN|AWN|||Alton Downs|Alton Downs|||Alton Downs|Alton Downs|Àâñòðàëèÿ|Àâñòðàëèÿ|-26.533|-26.533|139.267|139.267
AWP|AWP|||Austral Downs|Austral Downs|||Austral Downs|Austral Downs|Àâñòðàëèÿ|Àâñòðàëèÿ|-20.492778|-20.492778|137.766111|137.766111
AWR|AWR|Àâàð|Àâàð|Awar|Awar|Àâàð|Àâàð|Awar|Awar|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-4.117|-4.117|144.850|144.850
AWZ|AWZ|Àõâàç|Àõâàç|Ahwaz|Ahwaz|Àõâàç|Àõâàç|Ahwaz|Ahwaz|Èðàí|Èðàí|31.337431|31.337431|48.761950|48.761950
AXA|AXA|||Wallblake|Wallblake|||Anguilla|Anguilla|Àíãèëüÿ|Àíãèëüÿ|18.204722|18.204722|-63.053889|-63.053889
AXB|AXB|Àëåêñàíäðèÿ Áýé|Àëåêñàíäðèÿ Áýé|Alexandria Bay|Alexandria Bay|||Alexandria Bay|Alexandria Bay|ÑØÀ|ÑØÀ|44.316717|44.316717|-75.899673|-75.899673
AXC|AXC|||Aramac|Aramac|||Aramac|Aramac|Àâñòðàëèÿ|Àâñòðàëèÿ|-22.967|-22.967|145.233|145.233
AXD|AXD|Äèìîêðèòîñ|Äèìîêðèòîñ|Dimokritos|Dimokritos|Àëåêñàíäðîïîëè|Àëåêñàíäðîïîëè|Alexandroupolis|Alexandroupolis|Ãðåöèÿ|Ãðåöèÿ|40.855869|40.855869|25.956264|25.956264
AXE|AXE|||Xanxere|Xanxere|||Xanxere|Xanxere|Áðàçèëèÿ|Áðàçèëèÿ|-26.883333333333|-26.883333333333|-52.383333333333|-52.383333333333
AXG|AXG|Àëãîíà|Àëãîíà|Algona|Algona|||Algona|Algona|ÑØÀ|ÑØÀ|43.077911|43.077911|-94.271993|-94.271993
AXK|AXK|Àòàê|Àòàê|Ataq|Ataq|Àòàê|Àòàê|Ataq|Ataq|Éåìåí|Éåìåí|14.551322|14.551322|46.826183|46.826183
AXL|AXL|Àëåêñàíäðèÿ|Àëåêñàíäðèÿ|Alexandria|Alexandria|Àëåêñàíäðèÿ|Àëåêñàíäðèÿ|Alexandria|Alexandria|Àâñòðàëèÿ|Àâñòðàëèÿ|-19.061667|-19.061667|136.713333|136.713333
AXM|AXM|||El Eden|El Eden|Àðìåíèÿ|Àðìåíèÿ|Armenia|Armenia|Êîëóìáèÿ|Êîëóìáèÿ|4.453333|4.453333|-75.765833|-75.765833
AXN|AXN|Àëåêñàíäðèÿ|Àëåêñàíäðèÿ|Alexandria|Alexandria|Àëåêñàíäðèÿ|Àëåêñàíäðèÿ|Alexandria|Alexandria|ÑØÀ|ÑØÀ|45.866306|45.866306|-95.394667|-95.394667
AXP|AXP|||Springpoint Arpt|Springpoint Arpt|||Spring Point|Spring Point|Òåðêñ è Êàéêîñ|Òåðêñ è Êàéêîñ|22.441828|22.441828|-73.970858|-73.970858
AXR|AXR|||Arutua|Arutua|||Arutua|Arutua|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|-15.246389|-15.246389|-146.620278|-146.620278
AXS|AXS|||Municipal|Municipal|||Altus|Altus|ÑØÀ|ÑØÀ|34.698806|34.698806|-99.338472|-99.338472
AXT|AXT|Àêèòà|Àêèòà|Akita|Akita|Àêèòà|Àêèòà|Akita|Akita|ßïîíèÿ|ßïîíèÿ|39.615556|39.615556|140.218611|140.218611
AXU|AXU|Àêñóì|Àêñóì|Axum|Axum|Àêñóì|Àêñóì|Axum|Axum|Ýôèîïèÿ|Ýôèîïèÿ|14.146750|14.146750|38.772833|38.772833
AXV|AXV|||Neil Armstrong|Neil Armstrong|||Wapakoneta|Wapakoneta|ÑØÀ|ÑØÀ|40.493556|40.493556|-84.298083|-84.298083
AXX|AXX|||Angel Fire|Angel Fire|||Angel Fire|Angel Fire|ÑØÀ|ÑØÀ|36.422000|36.422000|-105.289905|-105.289905
AYA|AYA|Àéàïåë|Àéàïåë|Ayapel|Ayapel|Àéàïåë|Àéàïåë|Ayapel|Ayapel|Êîëóìáèÿ|Êîëóìáèÿ|8.283|8.283|-75.133|-75.133
AYC|AYC|Àéàêó÷î|Àéàêó÷î|Ayacucho|Ayacucho|Àÿêó÷î|Àÿêó÷î|Ayacucho|Ayacucho|Ïåðó|Ïåðó|8.600|8.600|-73.600|-73.600
AYD|AYD|||Alroy Downs|Alroy Downs|||Alroy Downs|Alroy Downs|Àâñòðàëèÿ|Àâñòðàëèÿ|-19.290833|-19.290833|136.079444|136.079444
AYE|AYE|||AAF Heliport|AAF Heliport|||Fort Devens|Fort Devens|Ãàèòè|Ãàèòè|19.833333333333|19.833333333333|-72.5|-72.5
AYG|AYG|ßãóàðà|ßãóàðà|Yaguara|Yaguara|ßãóàðà|ßãóàðà|Yaguara|Yaguara|Êîëóìáèÿ|Êîëóìáèÿ|1.544167|1.544167|-73.933333|-73.933333
AYH|AYH|||RAF Station|RAF Station|||Alconbury|Alconbury|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|52.366666666667|52.366666666667|-0.26666666666667|-0.26666666666667
AYI|AYI|ßðè|ßðè|Yari|Yari|ßðè|ßðè|Yari|Yari|Êîëóìáèÿ|Êîëóìáèÿ|-0.383|-0.383|-72.267|-72.267
AYK|AYK|Àðêàëûê|Àðêàëûê|Arkalyk|Arkalyk|Àðêàëûê|Àðêàëûê|Arkalyk|Arkalyk|Êàçàõñòàí|Êàçàõñòàí|50.318611|50.318611|66.952777|66.952777
AYL|AYL|||Anthony Lagoon|Anthony Lagoon|||Anthony Lagoon|Anthony Lagoon|Àâñòðàëèÿ|Àâñòðàëèÿ|-18.020556|-18.020556|135.540278|135.540278
AYN|AYN|Àíüÿí|Àíüÿí|Anyang|Anyang|Àíüÿí|Àíüÿí|Anyang|Anyang|Êèòàé|Êèòàé|36.133889|36.133889|114.343889|114.343889
AYO|AYO|||Ayolas|Ayolas|||Ayolas|Ayolas|Óãàíäà|Óãàíäà|2.05|2.05|33.75|33.75
AYP|AYP|||Yanamilla|Yanamilla|Àÿêó÷î|Àÿêó÷î|Ayacucho|Ayacucho|Ïåðó|Ïåðó|-13.154819|-13.154819|-74.204417|-74.204417
AYQ|AYQ|||Connellan|Connellan|Àéåðñ Ðîê|Àéåðñ Ðîê|Ayers Rock|Ayers Rock|Àâñòðàëèÿ|Àâñòðàëèÿ|-25.186111|-25.186111|130.975556|130.975556
AYR|AYR|Ýéð|Ýéð|Ayr|Ayr|Ýéð|Ýéð|Ayr|Ayr|Àâñòðàëèÿ|Àâñòðàëèÿ|-19.584444|-19.584444|147.329167|147.329167
AYS|AYS|||Ware County|Ware County|||Waycross|Waycross|ÑØÀ|ÑØÀ|31.248397|31.248397|-82.395395|-82.395395
AYT|AYT|Àíòàëèÿ|Àíòàëèÿ|Antalya|Antalya|Àíòàëèÿ|Àíòàëèÿ|Antalya|Antalya|Òóðöèÿ|Òóðöèÿ|36.898731|36.898731|30.800461|30.800461
AYU|AYU|Àéþðà|Àéþðà|Aiyura|Aiyura|Àéþðà|Àéþðà|Aiyura|Aiyura|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-6.333|-6.333|145.900|145.900
AYW|AYW|Àÿâàñè|Àÿâàñè|Ayawasi|Ayawasi|Àÿâàñè|Àÿâàñè|Ayawasi|Ayawasi|Èíäîíåçèÿ|Èíäîíåçèÿ|-1.133|-1.133|132.467|132.467
AYZ|AYZ|||Zahns|Zahns|||Amityville|Amityville|ÑØÀ|ÑØÀ|40.666666666667|40.666666666667|-73.416666666667|-73.416666666667
AZB|AZB|Àìàçîí-Áåé|Àìàçîí-Áåé|Amazon Bay|Amazon Bay|Àìàçîí-Áåé|Àìàçîí-Áåé|Amazon Bay|Amazon Bay|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-10.300|-10.300|149.333|149.333
AZD|AZD|ßçä|ßçä|Yazd|Yazd|ßçä|ßçä|Yazd|Yazd|Èðàí|Èðàí|31.904908|31.904908|54.276503|54.276503
AZG|AZG|Àïàöèíãàí|Àïàöèíãàí|Apatzingan|Apatzingan|Àïàöèíãàí|Àïàöèíãàí|Apatzingan|Apatzingan|Ìåêñèêà|Ìåêñèêà|19.093425|19.093425|-102.393608|-102.393608
AZI|AZI|Áàòèí|Áàòèí|Bateen|Bateen|Àáó-Äàáè|Àáó-Äàáè|Abu Dhabi|Abu Dhabi|ÎÀÝ|ÎÀÝ|24.428333|24.428333|54.458084|54.458084
AZN|AZN|Àíäèæàí|Àíäèæàí|Andizhan|Andizhan|Àíäèæàí|Àíäèæàí|Andizhan|Andizhan|Óçáåêèñòàí|Óçáåêèñòàí|40.727739|40.727739|72.294019|72.294019
AZO|AZO|||Kalamazoo/Battle Creek Intl|Kalamazoo/Battle Creek Intl|Êàëàìàçó|Êàëàìàçó|Kalamazoo|Kalamazoo|ÑØÀ|ÑØÀ|42.234389|42.234389|-85.551556|-85.551556
AZP|AZP|||Atizapan|Atizapan|Ìåêñèêî Ñèòè|Ìåêñèêî Ñèòè|Mexico City|Mexico City|Ìåêñèêà|Ìåêñèêà|19.35|19.35|-99.116666666667|-99.116666666667
AZR|AZR|Àäðàð|Àäðàð|Adrar|Adrar|||Adrar|Adrar|Àëæèð|Àëæèð|27.839167|27.839167|-0.185278|-0.185278
AZT|AZT|Çàïàòîêà|Çàïàòîêà|Zapatoca|Zapatoca|Çàïàòîêà|Çàïàòîêà|Zapatoca|Zapatoca|Êîëóìáèÿ|Êîëóìáèÿ|6.767|6.767|-73.267|-73.267
AZZ|AZZ|||Ambriz|Ambriz|||Ambriz|Ambriz|Àíãîëà|Àíãîëà|-7.862222|-7.862222|13.116111|13.116111
BAA|BAA|Áèàëëà|Áèàëëà|Bialla|Bialla|Áèàëëà|Áèàëëà|Bialla|Bialla|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-5.330556|-5.330556|151.007778|151.007778
BAB|BAB|||Beale AFB|Beale AFB|||Marysville|Marysville|ÑØÀ|ÑØÀ|39.136089|39.136089|-121.436567|-121.436567
BAC|BAC|||Barranca De Upia|Barranca De Upia|||Barranca De Upia|Barranca De Upia|Êîëóìáèÿ|Êîëóìáèÿ|4.567|4.567|-72.950|-72.950
BAD|BAD|||Barksdale AFB|Barksdale AFB|Øðåâñïîðò|Øðåâñïîðò|Shreveport|Shreveport|ÑØÀ|ÑØÀ|32.501931|32.501931|-93.662628|-93.662628
BAE|BAE|Áàðñåëîíåòòà|Áàðñåëîíåòòà|Barcelonnette|Barcelonnette|Áàðñåëîíåòòà|Áàðñåëîíåòòà|Barcelonnette|Barcelonnette|Ôðàíöèÿ|Ôðàíöèÿ|44.388333|44.388333|6.610278|6.610278
BAF|BAF|||Barnes|Barnes|||Westfield|Westfield|ÑØÀ|ÑØÀ|42.157947|42.157947|-72.715875|-72.715875
BAG|BAG|||Loakan|Loakan|Áàãóéî|Áàãóéî|Baguio|Baguio|Ôèëèïïèíû|Ôèëèïïèíû|16.375103|16.375103|120.619636|120.619636
BAH|BAH|||Bahrain International|Bahrain International|||Manama|Manama|Áàõðåéí|Áàõðåéí|26.270834|26.270834|50.633610|50.633610
BAI|BAI|Áóýíîñ-Àéðåñ|Áóýíîñ-Àéðåñ|Buenos Aires|Buenos Aires|Áóýíîñ-Àéðåñ|Áóýíîñ-Àéðåñ|Buenos Aires|Buenos Aires|Êîñòà-Ðèêà|Êîñòà-Ðèêà|9.163606|9.163606|-83.329872|-83.329872
BAJ|BAJ|î.Áàëè|î.Áàëè|Bali|Bali|Áàëè|Áàëè|Bali|Bali|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-4.883|-4.883|149.133|149.133
BAL|BAL|||Batman|Batman|||Batman|Batman|Òóðöèÿ|Òóðöèÿ|37.928969|37.928969|41.116583|41.116583
BAM|BAM|||Lander County|Lander County|||Battle Mountain|Battle Mountain|ÑØÀ|ÑØÀ|40.599046|40.599046|-116.874336|-116.874336
BAN|BAN|Áàçîíãî|Áàçîíãî|Basongo|Basongo|Áàçîíãî|Áàçîíãî|Basongo|Basongo|Äåìîêðàòè÷åñêàÿ ðåñïóáëèêà Êîíãî|Äåìîêðàòè÷åñêàÿ ðåñïóáëèêà Êîíãî|-4.317|-4.317|20.433|20.433
BAO|BAO|||Udorn|Udorn|||Ban Mak Khaen|Ban Mak Khaen|Òàèëàíä|Òàèëàíä|17.383|17.383|102.800|102.800
BAP|BAP|Áàéáàðà|Áàéáàðà|Baibara|Baibara|Áàéáàðà|Áàéáàðà|Baibara|Baibara|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-10.333|-10.333|149.633|149.633
BAQ|BAQ|||E Cortissoz|E Cortissoz|Áàððàíêóèëëà|Áàððàíêóèëëà|Barranquilla|Barranquilla|Êîëóìáèÿ|Êîëóìáèÿ|10.889461|10.889461|-74.780678|-74.780678
