0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ABH|ABH|Àëüôà|Àëüôà|Alpha|Alpha|||Alpha|Alpha|Àâñòðàëèÿ|Àâñòðàëèÿ|-23.646111|-23.646111|146.583611|146.583611
ABI|ABI|||Municipal|Municipal|||Abilene|Abilene|ÑØÀ|ÑØÀ|32.411306|32.411306|-99.681889|-99.681889
ABJ|ABJ|||Felix Houphouet Boigny|Felix Houphouet Boigny|Àáèäæàí|Àáèäæàí|Abidjan|Abidjan|Êîò ä&#039;Èâóàð|Êîò ä&#039;Èâóàð|5.261386|5.261386|-3.926294|-3.926294
ABK|ABK|Êàáðè-Äàð|Êàáðè-Äàð|Kabri Dar|Kabri Dar|Êàáðè-Äàð|Êàáðè-Äàð|Kabri Dar|Kabri Dar|Ýôèîïèÿ|Ýôèîïèÿ|6.734|6.734|44.253|44.253
ABL|ABL|Àìáëåð|Àìáëåð|Ambler|Ambler|||Ambler|Ambler|ÑØÀ|ÑØÀ|67.106314|67.106314|-157.857472|-157.857472
ABM|ABM|||Bamaga Injinoo|Bamaga Injinoo|||Bamaga, Queensland|Bamaga, Queensland|Àâñòðàëèÿ|Àâñòðàëèÿ|-10.950833|-10.950833|142.459444|142.459444
ABN|ABN|Àëüáèíà|Àëüáèíà|Albina|Albina|Àëüáèíà|Àëüáèíà|Albina|Albina|Ñóðèíàì|Ñóðèíàì|5.513|5.513|-54.050|-54.050
ABO|ABO|||Aboisso|Aboisso|||Aboisso|Aboisso|Êîò ä&#039;Èâóàð|Êîò ä&#039;Èâóàð|5.433|5.433|-3.267|-3.267
ABP|ABP|Àòêàìáà|Àòêàìáà|Atkamba|Atkamba|Àòêàìáà|Àòêàìáà|Atkamba|Atkamba|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-6.050|-6.050|141.083|141.083
ABQ|ABQ|||Albuquerque International|Albuquerque International|Àëüáóêåðê|Àëüáóêåðê|Albuquerque|Albuquerque|ÑØÀ|ÑØÀ|35.040194|35.040194|-106.609194|-106.609194
ABR|ABR|||Municipal|Municipal|||Aberdeen|Aberdeen|ÑØÀ|ÑØÀ|45.449056|45.449056|-98.421833|-98.421833
ABS|ABS|Àáó-Ñèìáåëü|Àáó-Ñèìáåëü|Abu Simbel|Abu Simbel|Àáó-Ñèìáåëü|Àáó-Ñèìáåëü|Abu Simbel|Abu Simbel|Åãèïåò|Åãèïåò|22.375953|22.375953|31.611722|31.611722
ABT|ABT|||Al-Aqiq|Al-Aqiq|||Al-Baha|Al-Baha|Ñàóäîâñêàÿ Àðàâèÿ|Ñàóäîâñêàÿ Àðàâèÿ|20.296139|20.296139|41.634277|41.634277
ABU|ABU|||Atambua|Atambua|||Atambua|Atambua|Èíäîíåçèÿ|Èíäîíåçèÿ|-9.074444|-9.074444|124.904444|124.904444
ABV|ABV|||Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Àáóäæà|Àáóäæà|Abuja|Abuja|Íèãåðèÿ|Íèãåðèÿ|9.006792|9.006792|7.263172|7.263172
ABW|ABW|Àáàó|Àáàó|Abau|Abau|Àáàó|Àáàó|Abau|Abau|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-10.200|-10.200|148.733|148.733
ABX|ABX|Ýëáåðè|Ýëáåðè|Albury|Albury|Ýëáåðè|Ýëáåðè|Albury|Albury|Àâñòðàëèÿ|Àâñòðàëèÿ|-36.067778|-36.067778|146.958056|146.958056
